"Link","Tytuł","Opis","Tagi","Czas"
"https://bettersoftwaredesign.simplecast.com/episodes/99-SenCcuyo","Architektura w erze AI – polski podcast o przyszłości developmentu","Czy mikroserwisy mają sens, gdy kod pisze AI? Jak projektować systemy, które będą zrozumiałe dla maszyn, a nie tylko ludzi? Polski akcent w zestawieniu – świetna dyskusja o tym, jak AI zmienia fundamenty naszej pracy, a nie tylko narzędzia w IDE. Słucham Better Software Design od dawna i mogę polecać w ciemno.","Bliżej technologii, Polska","1h 41min"
"https://developers.openai.com/cookbook/examples/skills_in_api","Skills w OpenAI API – modularyzacja agentów","Skille dla agentów są jak predefiniowane instrukcje jak wykonać daną pracę. W narzędziach lokalnych jest to już dawno dostępne, natomiast OpenAI poszło dalej i wprowadza możliwość używania skilli poprzez API, co może pozwolić na modularyzację agentów.","Bliżej technologii",""
"https://addyosmani.com/blog/agentic-engineering/","Addy Osmani definiuje ""Agentic Engineering"" – to więcej niż promptowanie","""Agentic Engineering"" to termin, który zostanie z nami na dłużej. Addy Osmani z Google argumentuje, że budowanie systemów z agentami wymaga inżynierskiego rygoru, a nie tylko używania modeli"". Artykuł, który porządkuje chaos w głowach developerów zachłyśniętych nowymi zabawkami.","Bliżej technologii",""
"https://github.com/humanlayer/advanced-context-engineering-for-coding-agents/blob/main/ace-fca.md","Context Engineering dla agentów – jak nie ""zatkać"" modelu","Dogłębna analiza zarządzania kontekstem. Autorzy pokazują techniki kompaktowania wiedzy, żeby agenty nie ""głupiały"" od nadmiaru informacji. Ważne informacje dla tych, którzy budują złożone systemy i zderzają się z limitem okna kontekstowego.","Bliżej technologii",""
"https://www.youtube.com/watch?v=8lF7HmQ_RgY","""Wdrażam kod, którego nie czytam"" – wywiad z twórcą Clawd","Prowokacyjne? Tak. Niebezpieczne? Być może. Twórca OpenClaw opowiada o pracy z agentami na poziomie zaufania, który dla wielu jest nie do przyjęcia. Czy to szaleństwo, czy nieunikniona przyszłość programowania? Warto posłuchać, by skonfrontować swoje podejście do Code Review.","Bliżej technologii","1h 54min"
"https://cursor.com/blog/self-driving-codebases","Repozytoria kodu, które same się naprawiają","Cursor dzieli się wizją przyszłości, gdzie bazy kodu utrzymują się same. Autonomiczne refaktoryzacje, łatanie bugów, aktualizacje bibliotek. Brzmi jak szaleństwo, ale pokazują konkretne kroki, jak tam dojść. To może być koniec pojęcia ""dług technologiczny"" w obecnym rozumieniu.","Bliżej technologii",""
"https://medium.com/fika-ventures/agents-vs-workflows-the-framework-founders-actually-need-519b5da8bd34","Agenty czy Workflows? Framework decyzyjny dla founderów","Większość dzisiejszych ""agentów"" to tak naprawdę sprytne workflowy. Ten artykuł świetnie porządkuje pojęcia: kiedy potrzebujesz deterministycznego procesu (workflow), a kiedy autonomii (agent). Lektura obowiązkowa, zanim zaczniesz przepalać budżet na modne hasła.","Bliżej technologii",""
"https://www.decodingai.com/p/integrating-ai-evals-into-your-ai-app","Koniec z ""vibe checking"" – jak profesjonalnie testować aplikacje AI","""Działa, bo tak czuję"" to za mało. Autor pokazuje, jak wdrożyć systematyczne ewaluacje (evals) do aplikacji AI. Bez twardych metryk skalowanie agentów to proszenie się o kłopoty. Praktyczny przewodnik po dojrzałym inżynierowaniu AI, który zamienia magię w proces.","Bliżej technologii",""
"https://addyosmani.com/blog/claude-code-agent-teams/","Roje agentów w Claude Code","Bardzo dobry artykuł o tym jak zarządzań pracą wielu agentów - czym są zespoły agentów, czemu koordynacja ma znaczenie, jak zacząć i na co uważać.","Bliżej technologii",""
"https://openai.com/index/harness-engineering/","Harness Engineering – jak OpenAI buduje produkty bez pisania kodu","OpenAI dzieli się kulisami eksperymentu: zbudowali i wdrożyli produkt bez napisania ani jednej linijki kodu ręcznie. Wszystko zrobili agenci Codex. Wcześniej, podobny artykuł wydało Anthropic, pokazując jak zbudowali kompilator języka C agentami. Na pewno jest to kierunek rozwoju naszej branży, ale ile tam jest marketingu?","Bliżej technologii",""
"https://www.youtube.com/watch?v=C04ruu91dFM","Starcie gigantów AI podczas Super Bowl - analiza","Krzysztof Mazur pokazuje obecną sytuację na rynku uwzględniając występy firm na największym evencie reklamowym w USA – Google i Anthropic depczą OpenAI po piętach. Czy pionier zostanie wyprzedzony przez gigantów? Treściwa analiza AI-owej ""Gry o Tron"" w wykonaniu polskiego eksperta.","Polska","14 min"
"https://hbr.org/2026/02/ai-doesnt-reduce-work-it-intensifies-it","AI nie zabiera pracy, tylko ją... intensyfikuje. Raport Harvard Business Review.","Mieliśmy pracować mniej, a pracujemy intensywniej. Badania HBR pokazują ciemną stronę produktywności: AI likwiduje ""puste przebiegi"", co prowadzi do szybszego wypalenia. 10 agentów działających w tle to 10 kontekstów między którymi trzeba się przełączać. Warto o tym pomyśleć w kontekście wypalenia zawodowego.","",""
"https://www.reuters.com/business/retail-consumer/amazon-discusses-ai-content-marketplace-with-publishers-information-reports-2026-02-10/","Amazon chce stworzyć marketplace dla danych treningowych AI","Amazon rozmawia z wydawcami o marketplace z treściami do trenowania AI. To próba cywilizowania dzikiego zachodu scrapowania danych. Jeśli to wypali, wydawcy zyskają nowe źródło przychodu, a my – legalne i czyste zbiory danych. Win-win?","",""
"https://foundationcapital.com/context-graphs-ais-trillion-dollar-opportunity/","Prawdziwe pieniądze są w kontekście – dlaczego grafy wiedzy to przyszłość","Teza VC: Modele (LLM) to towar, złoto leży w kontekście firmowym. Kto najlepiej zmapuje relacje i dane w organizacji (Context Graph), ten wygra wyścig. Spojrzenie inwestorskie na to, gdzie popłyną kolejne miliardy dolarów.","",""
"https://www.apricitas.io/p/americas-1t-ai-gamble","Bilion dolarów na stole – czy inwestycje w AI to największa bańka w historii?","Wydatki na data center i chipy przekroczyły bilion dolarów. Analiza ekonomiczna tego szaleństwa. Czy to fundament nowej gospodarki, czy powtórka z dot-comów, tylko z większymi zerami? Jeśli pęknie, usłyszą to wszyscy.","",""
"https://www.semafor.com/article/02/10/2026/google-goes-long-with-100-year-bond","Google pożycza pieniądze na 100 lat – grają w nieskończoną grę","Google emituje obligacje z terminem wykupu za wiek. To pokazuje pewność siebie giganta i dostęp do taniego kapitału. Inwestycje w AI wymagają astronomicznych kwot i horyzontu czasowego, który wykracza poza kadencję CEO.","",""
"https://www.bigtechnology.com/p/new-data-openais-lead-is-contracting","Monopol ChatGPT się kruszy – Gemini i Grok odbierają udziały","Liczby nie kłamią. Dominacja OpenAI słabnie, konkurencja rośnie w siłę. Rynek chatbotów staje się wielobiegunowy, co dla konsumentów może być pozytywną wiadomością. Większy wybór, lepsze ceny, szybszy rozwój.","",""
"https://www.tradingview.com/news/financemagnates:71e56e16c094b:0-70m-for-ai-com-domain-crypto-com-founder-s-record-breaking-bet-on-consumer-ai/","70 milionów dolarów za domenę – szczyt bańki czy inwestycja życia?","Założyciel Crypto.com kupił domenę ai.com za 70 mln $. Kwota absurdalna, ale pokazuje temperaturę rynku. Czy za 5 lat będziemy to wspominać jako symbol szaleństwa AI czy genialny ruch marketingowy?","",""
"https://www.cnbc.com/2026/02/06/anthropic-goldman-sachs-ai-model-accounting.html","Goldman Sachs ufa Claude'owi – AI wchodzi do księgowości banku","Firmy finansowe raczej znane są z konserwatyzmu, a jednak wdrażają AI. Goldman Sachs używa Claude'a do automatyzacji procesów księgowych. To potężny dowód zaufania dla Anthropic – ""skoro bank im ufa, to może my też powinniśmy?"".","",""
"https://www.youtube.com/watch?v=C_MXaam7Hhw","10 rzeczy, których nie mogłeś zrobić przed Claude Opus 4.6 dla osób nietechnicznych","Nowy model Claude Opus 4.6 wnosi możliwości. Ten film to praktyczny przegląd 10 zastosowań, które pokazują prawdziwą ""moc agencyjną"" tego narzędzia. Warto zobaczyć, by zrozumieć, jak bardzo przesuwa się granica tego, co możliwe.","","11 min"
"https://the-decoder.com/openai-and-anthropic-become-ai-consultants-as-enterprise-customers-struggle-with-agent-reliability/","Modele to za mało – OpenAI i Anthropic ruszają z consultingiem","Firmy nie umieją wdrażać AI, więc twórcy technologii muszą zakasać rękawy i pomagać bezpośrednio. Ciekawy zwrot akcji: od sprzedaży produktu pudełkowego do usług wdrożeniowych. Czy takie podejście do klienta może zamieszać w pozycji największych graczy AI?","",""
